NWCG_REPORTING_UNIT_NAME,DISCOVERY_TIME,STAT_CAUSE_DESCR,STATE,temperature(C),date
Carlsbad Field Office,1820,Lightning,NM,33.122093,6/19/2014
Southern California Agency,1743,Equipment Use,CA,16.334345,6/19/2014
Southern California Agency,1720,Equipment Use,CA,16.334345,6/19/2014
Arizona State Forestry Division - State Office,1859,Missing/Undefined,AZ,33.61535,6/19/2014
Tonto National Forest,1815,Miscellaneous,AZ,24.77981,6/19/2014
Tonto National Forest,1832,Miscellaneous,AZ,24.77981,6/19/2014
Tonto National Forest,1845,Miscellaneous,AZ,24.77981,6/19/2014
Arizona State Forestry Division - State Office,1841,Missing/Undefined,AZ,24.77981,6/19/2014
Amador-El Dorado Unit,1706,Smoking,CA,30.115046,6/19/2014
Nevada-Yuba-Placer Unit,1835,Missing/Undefined,CA,18.478266,6/19/2014
Plumas National Forest,1710,Miscellaneous,CA,19.774652,6/19/2014
Pennsylvania Division of Forest Fire Protection,2025,Miscellaneous,PA,25.982233,6/19/2014
Oregon Department of Forestry State Headquarters,1730,Debris Burning,OR,13.02981,6/19/2014
Oregon Department of Forestry State Headquarters,1845,Equipment Use,OR,15.201532,6/19/2014
Yakama Agency,1941,Arson,WA,20.029657,6/19/2014
Colville Agency,1745,Equipment Use,WA,19.189142,6/19/2014
Merced-Mariposa Unit,2210,Missing/Undefined,CA,23.596155,6/19/2014
Amador-El Dorado Unit,2055,Missing/Undefined,CA,27.021723,6/19/2014
Butte Unit,2213,Arson,CA,25.384119,6/19/2014
Hoopa Valley Tribe,2206,Arson,CA,12.845057,6/19/2014
Oregon Department of Forestry State Headquarters,2200,Campfire,OR,18.457666,6/19/2014
Washington State Headquarters,2230,Debris Burning,WA,8.843103,6/19/2014
Cabo Rojo National Wildlife Refuge,730,Arson,PR,24.799158,6/19/2014
California Desert District,122,Missing/Undefined,CA,27.220575,6/19/2014
Merced-Mariposa Unit,2326,Missing/Undefined,CA,24.246485,6/19/2014
Nevada-Yuba-Placer Unit,2309,Missing/Undefined,CA,24.629297,6/19/2014
Arizona State Forestry Division - State Office,559,Missing/Undefined,AZ,28.29867,6/19/2014
Arizona State Forestry Division - State Office,539,Miscellaneous,AZ,17.399286,6/19/2014
Humboldt-Toiyabe National Forest,215,Miscellaneous,NV,22.334406,6/19/2014
Merced-Mariposa Unit,427,Miscellaneous,CA,23.43545,6/19/2014
Shasta-Trinity National Forest,442,Miscellaneous,CA,18.146906,6/19/2014
Whiskeytown National Recreation Area,300,Equipment Use,CA,22.759607,6/19/2014
Okanogan/Wenatchee National Forest,200,Miscellaneous,WA,9.698908,6/19/2014
Riverside Unit,600,Debris Burning,CA,21.817774,6/19/2014
Arizona State Forestry Division - State Office,630,Missing/Undefined,AZ,22.375513,6/19/2014
North Carolina Forest Service,830,Debris Burning,NC,22.74792,6/19/2014
Hopi Agency,745,Arson,AZ,13.542322,6/19/2014
Pike and San Isabel National Forest,830,Lightning,CO,10.017115,6/19/2014
Deschutes National Forest,515,Campfire,OR,10.883326,6/19/2014
Georgia Forestry Commission,1221,Debris Burning,GA,28.03094,6/19/2014
Georgia Forestry Commission,1350,Debris Burning,GA,26.555628,6/19/2014
South Carolina Forestry Commission,1347,Debris Burning,SC,29.163752,6/19/2014
North Carolina Forest Service,1203,Debris Burning,NC,27.49969,6/19/2014
Arkansas Forestry Commission,1215,Arson,AR,27.34344,6/19/2014
Arkansas Forestry Commission,1215,Arson,AR,27.34344,6/19/2014
Arkansas Forestry Commission,1215,Arson,AR,27.34344,6/19/2014
Arkansas Forestry Commission,1215,Arson,AR,27.34344,6/19/2014
North Carolina Forest Service,1230,Lightning,NC,29.007502,6/19/2014
North Carolina Forest Service,1215,Miscellaneous,NC,26.327814,6/19/2014
North Carolina Forest Service,1335,Debris Burning,NC,28.632502,6/19/2014
North Carolina Forest Service,1105,Equipment Use,NC,27.56344,6/19/2014
New Mexico - State Forestry,1047,Lightning,NM,11.8706,6/19/2014
Merced-Mariposa Unit,1052,Miscellaneous,CA,21.516565,6/19/2014
Utah Division Forestry Fire State Lands,900,Equipment Use,UT,12.082727,6/19/2014
Shasta-Trinity National Forest,854,Campfire,CA,17.481348,6/19/2014
Shasta-Trinity Unit,916,Miscellaneous,CA,17.481348,6/19/2014
Fire Department of New York,1343,Miscellaneous,NY,17.25094,6/19/2014
Deschutes National Forest,800,Equipment Use,OR,10.979303,6/19/2014
Florida Forest Service,1545,Lightning,FL,27.040247,6/19/2014
Florida Forest Service,1410,Debris Burning,FL,27.571497,6/19/2014
Georgia Forestry Commission,1432,Debris Burning,GA,27.980524,6/19/2014
Arizona State Forestry Division - State Office,1437,Missing/Undefined,AZ,32.13143,6/19/2014
South Carolina Forestry Commission,1639,Debris Burning,SC,31.20431,6/19/2014
San Bernardino National Forest,1209,Smoking,CA,21.343653,6/19/2014
Mississippi Forestry Commission,1316,Debris Burning,MS,29.86056,6/19/2014
North Carolina Forest Service,1644,Debris Burning,NC,29.727747,6/19/2014
South Carolina Forestry Commission,1522,Debris Burning,SC,30.0274,6/19/2014
North Carolina Forest Service,1449,Debris Burning,NC,32.633995,6/19/2014
North Carolina Forest Service,1412,Lightning,NC,32.751183,6/19/2014
North Carolina Forest Service,1520,Debris Burning,NC,32.751183,6/19/2014
North Carolina Forest Service,1545,Miscellaneous,NC,32.751183,6/19/2014
North Carolina Forest Service,1448,Equipment Use,NC,33.016808,6/19/2014
North Carolina Forest Service,1629,Equipment Use,NC,33.016808,6/19/2014
North Carolina Forest Service,1402,Debris Burning,NC,31.969934,6/19/2014
North Carolina Forest Service,1555,Debris Burning,NC,31.344934,6/19/2014
San Luis Obispo Unit,1216,Miscellaneous,CA,23.957087,6/19/2014
San Benito-Monterey Unit,1216,Miscellaneous,CA,26.178308,6/19/2014
North Carolina Forest Service,1511,Equipment Use,NC,29.878962,6/19/2014
North Carolina Forest Service,1438,Equipment Use,NC,31.930872,6/19/2014
North Carolina Forest Service,1400,Equipment Use,NC,31.930872,6/19/2014
Yosemite National Park,1230,Miscellaneous,CA,14.612848,6/19/2014
Cedar City Field Office,1225,Missing/Undefined,UT,17.86529,6/19/2014
Nevada-Yuba-Placer Unit,1318,Equipment Use,CA,21.87115,6/19/2014
Tahoe National Forest,1250,Equipment Use,CA,18.849329,6/19/2014
Lassen-Modoc Unit,1352,Missing/Undefined,CA,19.489954,6/19/2014
Fire Department of New York,1436,Miscellaneous,NY,22.09884,6/19/2014
Rock Springs Field Office,1300,Missing/Undefined,WY,10.886286,6/19/2014
Oregon Department of Forestry State Headquarters,1300,Equipment Use,OR,19.464075,6/19/2014
Medford District,1147,Miscellaneous,OR,18.759912,6/19/2014
Black Hills National Forest,1330,Lightning,SD,16.151575,6/19/2014
Maine Forest Service,1650,Miscellaneous,ME,22.977747,6/19/2014
Wisconsin Department of Natural Resources,1551,Miscellaneous,WI,17.186121,6/19/2014
Okanogan/Wenatchee National Forest,1246,Campfire,WA,16.507715,6/19/2014
Mississippi Forestry Commission,1648,Smoking,MS,30.346613,6/19/2014
Georgia Forestry Commission,1750,Debris Burning,GA,32.674736,6/19/2014
Arizona State Forestry Division - State Office,1540,Missing/Undefined,AZ,34.56289,6/19/2014
South Carolina Forestry Commission,1907,Debris Burning,SC,30.781183,6/19/2014
North Carolina Forest Service,1815,Arson,NC,33.1513,6/19/2014
North Carolina Forest Service,1734,Children,NC,31.823175,6/19/2014
Merced-Mariposa Unit,1515,Missing/Undefined,CA,26.389215,6/19/2014
Merced-Mariposa Unit,1642,Debris Burning,CA,32.21087,6/19/2014
Merced-Mariposa Unit,1617,Miscellaneous,CA,32.203056,6/19/2014
Tuolumne-Calaveras Unit,1608,Children,CA,28.219141,6/19/2014
Sonoma-Lake Napa Unit,1501,Equipment Use,CA,21.52337,6/19/2014
Amador-El Dorado Unit,1502,Smoking,CA,28.406183,6/19/2014
Pike and San Isabel National Forest,1730,Lightning,CO,21.743158,6/19/2014
Butte Unit,1543,Miscellaneous,CA,24.959558,6/19/2014
Plumas National Forest,1637,Miscellaneous,CA,20.624964,6/19/2014
Fire Department of New York,1722,Miscellaneous,NY,21.198175,6/19/2014
Shasta-Trinity Unit,1552,Missing/Undefined,CA,23.57992,6/19/2014
Utah Division Forestry Fire State Lands,1537,Equipment Use,UT,16.396143,6/19/2014
Rock Springs Field Office,1538,Missing/Undefined,WY,14.610346,6/19/2014
Utah Division Forestry Fire State Lands,1500,Debris Burning,UT,18.448908,6/19/2014
Oregon Department of Forestry State Headquarters,1440,Miscellaneous,OR,18.443933,6/19/2014
Umatilla Agency,1451,Arson,OR,18.318903,6/19/2014
Washington State Headquarters,1530,Debris Burning,WA,16.076715,6/19/2014
Wisconsin Department of Natural Resources,1624,Powerline,WI,18.773829,6/19/2014
Yakama Agency,1649,Fireworks,WA,22.279871,6/19/2014
Washington State Headquarters,1448,Miscellaneous,WA,19.990778,6/19/2014
Okanogan/Wenatchee National Forest,1530,Campfire,WA,11.622889,6/19/2014
Fort Peck Agency,1712,Fireworks,MT,21.709558,6/19/2014
Mississippi Forestry Commission,1907,Debris Burning,MS,16.755884,3/25/2014
Georgia Forestry Commission,2149,Debris Burning,GA,12.043573,3/25/2014
Georgia Forestry Commission,2120,Debris Burning,GA,10.149042,3/25/2014
Georgia Forestry Commission,2125,Debris Burning,GA,11.158228,3/25/2014
Arizona State Forestry Division - State Office,1920,Missing/Undefined,AZ,26.82644,3/25/2014
Georgia Forestry Commission,2029,Arson,GA,13.567011,3/25/2014
Riverside Unit,1846,Missing/Undefined,CA,18.497644,3/25/2014
Oklahoma Division of Forestry,2055,Debris Burning,OK,13.770136,3/25/2014
Arkansas Forestry Commission,2155,Miscellaneous,AR,11.785761,3/25/2014
North Carolina Forest Service,2030,Debris Burning,NC,7.8906493,3/25/2014
Oklahoma Division of Forestry,1915,Arson,OK,8.309198,3/25/2014
Tennessee Division of Forestry,2040,Smoking,TN,6.8365417,3/25/2014
Kentucky Division of Forestry,2250,Debris Burning,KY,3.2522216,3/25/2014
Kentucky Division of Forestry,2045,Debris Burning,KY,2.8912292,3/25/2014
West Virginia Division of Forestry,2050,Children,WV,0.80526125,3/25/2014
West Virginia Division of Forestry,2024,Equipment Use,WV,0.69198,3/25/2014
West Virginia Division of Forestry,2130,Structure,WV,1.7502686,3/25/2014
Kentucky Division of Forestry,2005,Debris Burning,KY,2.9263854,3/25/2014
Nevada-Yuba-Placer Unit,1706,Debris Burning,CA,22.145136,3/25/2014
New Jersey Forest Fire Service,2215,Miscellaneous,NJ,-1.0048584,3/25/2014
Missouri Department of Conservation,2009,Debris Burning,MO,-0.43884888,3/25/2014
Nebraska Department of Forestry,1930,Miscellaneous,NE,3.4849792,3/25/2014
Fire Department of New York,2044,Miscellaneous,NY,-2.3925538,3/25/2014
Washington State Headquarters,1900,Debris Burning,WA,12.982019,3/25/2014
Washington State Headquarters,1900,Miscellaneous,WA,10.504969,3/25/2014
Mississippi Forestry Commission,2312,Campfire,MS,11.983973,3/25/2014
Arizona State Forestry Division - State Office,2229,Missing/Undefined,AZ,25.82464,3/25/2014
Arizona State Forestry Division - State Office,2149,Missing/Undefined,AZ,25.82464,3/25/2014
Oklahoma Division of Forestry,2305,Arson,OK,4.073816,3/25/2014
Fire Department of New York,2329,Smoking,NY,-3.6207643,3/25/2014
Georgia Forestry Commission,303,Debris Burning,GA,8.932123,3/25/2014
Hopi Agency,130,Debris Burning,AZ,11.516535,3/25/2014
Humboldt-Toiyabe National Forest,100,Structure,NV,8.18841,3/25/2014
Cabo Rojo National Wildlife Refuge,1015,Missing/Undefined,PR,21.695154,3/25/2014
Louisiana Office of Forestry,400,Debris Burning,LA,6.2625365,3/25/2014
Mississippi Forestry Commission,654,Debris Burning,MS,5.273828,3/25/2014
Humboldt-Del Norte Unit,252,Miscellaneous,CA,8.312403,3/25/2014
Big Cypress National Preserve,1000,Lightning,FL,20.641504,3/25/2014
Florida Forest Service,1300,Campfire,FL,12.049158,3/25/2014
Florida Forest Service,1200,Children,FL,15.238611,3/25/2014
Louisiana Office of Forestry,1235,Arson,LA,11.873377,3/25/2014
Louisiana Office of Forestry,1215,Debris Burning,LA,11.318689,3/25/2014
Florida Forest Service,1226,Powerline,FL,15.109705,3/25/2014
Florida Forest Service,1105,Miscellaneous,FL,12.53158,3/25/2014
Florida Forest Service,1305,Miscellaneous,FL,10.71908,3/25/2014
Georgia Forestry Commission,1132,Children,GA,14.926111,3/25/2014
Mississippi Forestry Commission,1203,Campfire,MS,9.789392,3/25/2014
Georgia Forestry Commission,1252,Debris Burning,GA,11.603846,3/25/2014
Mississippi Forestry Commission,1240,Debris Burning,MS,9.931971,3/25/2014
Mississippi Forestry Commission,1255,Campfire,MS,9.931971,3/25/2014
Georgia Forestry Commission,1313,Debris Burning,GA,12.996424,3/25/2014
Georgia Forestry Commission,1113,Debris Burning,GA,10.861658,3/25/2014
Georgia Forestry Commission,1302,Debris Burning,GA,12.711267,3/25/2014
Mississippi Forestry Commission,1217,Campfire,MS,7.6614623,3/25/2014
Georgia Forestry Commission,1300,Debris Burning,GA,8.619471,3/25/2014
Georgia Forestry Commission,1345,Debris Burning,GA,9.670252,3/25/2014
Apache-Sitgreaves National Forest,1000,Campfire,AZ,12.281122,3/25/2014
Arkansas Forestry Commission,1120,Campfire,AR,6.0017943,3/25/2014
Georgia Forestry Commission,1341,Debris Burning,GA,5.261926,3/25/2014
Georgia Forestry Commission,1246,Debris Burning,GA,5.1320434,3/25/2014
Tennessee Division of Forestry,1030,Arson,TN,-0.66873777,3/25/2014
Arkansas Forestry Commission,1239,Debris Burning,AR,2.9417357,3/25/2014
Kickapoo Field Office,1127,Miscellaneous,OK,4.164392,3/25/2014
Osage Agency,1136,Miscellaneous,OK,2.5276732,3/25/2014
Mark Twain National Forest,1009,Miscellaneous,MO,0.80892336,3/25/2014
Petersburg National Battlefield,1323,Arson,VA,3.3372436,3/25/2014
Kentucky Division of Forestry,1321,Debris Burning,KY,-2.1091676,3/25/2014
Missouri Department of Conservation,1207,Debris Burning,MO,-1.8297485,3/25/2014
Missouri Department of Conservation,1202,Miscellaneous,MO,-1.3033813,3/25/2014
Missouri Department of Conservation,1104,Miscellaneous,MO,-2.5255494,3/25/2014
Pennsylvania Division of Forest Fire Protection,1326,Equipment Use,PA,-5.739508,3/25/2014
Uintah and Ouray Agency,1157,Debris Burning,UT,1.0183045,3/25/2014
Nebraska Department of Forestry,1131,Equipment Use,NE,-4.2894654,3/25/2014
Pennsylvania Division of Forest Fire Protection,1302,Debris Burning,PA,-4.284949,3/25/2014
Nebraska Department of Forestry,1106,Debris Burning,NE,-4.2894654,3/25/2014
Northern California District,853,Miscellaneous,CA,5.628778,3/25/2014
Wyoming State Forestry,1014,Debris Burning,WY,3.145349,3/25/2014
Lassen-Modoc Unit,1021,Debris Burning,CA,6.4154296,3/25/2014
Fire Department of New York,1213,Lightning,NY,-5.212683,3/25/2014
Fire Department of New York,1302,Miscellaneous,NY,-6.2458863,3/25/2014
Florida Forest Service,1650,Miscellaneous,FL,21.6401,3/25/2014
Florida Forest Service,1540,Powerline,FL,15.069788,3/25/2014
Florida Forest Service,1515,Debris Burning,FL,19.569788,3/25/2014
Louisiana Office of Forestry,1430,Debris Burning,LA,13.8119755,3/25/2014
Louisiana Office of Forestry,1500,Debris Burning,LA,13.8119755,3/25/2014
Louisiana Office of Forestry,1550,Debris Burning,LA,13.8119755,3/25/2014
Mississippi Forestry Commission,1403,Campfire,MS,13.573694,3/25/2014
Florida Forest Service,1530,Miscellaneous,FL,14.565882,3/25/2014
Louisiana Office of Forestry,1300,Arson,LA,13.8119755,3/25/2014
Mississippi Forestry Commission,1433,Debris Burning,MS,13.882288,3/25/2014
Mississippi Forestry Commission,1556,Debris Burning,MS,13.9213505,3/25/2014
Georgia Forestry Commission,1521,Debris Burning,GA,15.101038,3/25/2014
Louisiana Office of Forestry,1400,Arson,LA,12.894007,3/25/2014
Louisiana Office of Forestry,1410,Powerline,LA,12.894007,3/25/2014
Mississippi Forestry Commission,1349,Campfire,MS,12.538538,3/25/2014
Kisatchie National Forest,1515,Arson,LA,12.894007,3/25/2014
Georgia Forestry Commission,1640,Children,GA,14.038538,3/25/2014
Louisiana Office of Forestry,1305,Debris Burning,LA,12.894007,3/25/2014
Mississippi Forestry Commission,1549,Debris Burning,MS,12.8276005,3/25/2014
Georgia Forestry Commission,1545,Debris Burning,GA,13.886194,3/25/2014
Georgia Forestry Commission,1608,Debris Burning,GA,18.042444,3/25/2014
Georgia Forestry Commission,1600,Debris Burning,GA,13.886194,3/25/2014
Mississippi Forestry Commission,1516,Campfire,MS,12.132288,3/25/2014
Mississippi Forestry Commission,1522,Debris Burning,MS,12.132288,3/25/2014
Georgia Forestry Commission,1451,Debris Burning,GA,13.942835,3/25/2014
Mississippi Forestry Commission,1545,Debris Burning,MS,11.259241,3/25/2014
Georgia Forestry Commission,1435,Campfire,GA,10.880335,3/25/2014
Georgia Forestry Commission,1541,Debris Burning,GA,11.872522,3/25/2014
Georgia Forestry Commission,1559,Debris Burning,GA,13.075647,3/25/2014
Mississippi Forestry Commission,1358,Campfire,MS,10.073694,3/25/2014
Georgia Forestry Commission,1515,Lightning,GA,10.774866,3/25/2014
Georgia Forestry Commission,1544,Debris Burning,GA,11.872522,3/25/2014
Georgia Forestry Commission,1436,Debris Burning,GA,11.872522,3/25/2014
Georgia Forestry Commission,1439,Arson,GA,13.536585,3/25/2014
Georgia Forestry Commission,1553,Debris Burning,GA,13.075647,3/25/2014
Georgia Forestry Commission,1520,Debris Burning,GA,13.536585,3/25/2014
Georgia Forestry Commission,1515,Debris Burning,GA,10.774866,3/25/2014
Georgia Forestry Commission,1420,Debris Burning,GA,10.774866,3/25/2014
Georgia Forestry Commission,1611,Smoking,GA,10.294397,3/25/2014
Georgia Forestry Commission,1636,Debris Burning,GA,12.630335,3/25/2014
Texas A & M Forest Service,1421,Debris Burning,TX,11.710413,3/25/2014
Georgia Forestry Commission,1515,Debris Burning,GA,11.138147,3/25/2014
Georgia Forestry Commission,1635,Debris Burning,GA,12.630335,3/25/2014
Georgia Forestry Commission,1650,Debris Burning,GA,12.419397,3/25/2014
Georgia Forestry Commission,1643,Debris Burning,GA,10.294397,3/25/2014
Mississippi Forestry Commission,1346,Campfire,MS,9.1401005,3/25/2014
Georgia Forestry Commission,1446,Arson,GA,12.630335,3/25/2014
Georgia Forestry Commission,1520,Debris Burning,GA,10.48971,3/25/2014
Georgia Forestry Commission,1436,Lightning,GA,10.48971,3/25/2014
Mississippi Forestry Commission,1521,Miscellaneous,MS,8.587366,3/25/2014
Georgia Forestry Commission,1649,Debris Burning,GA,11.247522,3/25/2014
Georgia Forestry Commission,1648,Debris Burning,GA,9.58346,3/25/2014
Louisiana Office of Forestry,1337,Debris Burning,LA,10.274866,3/25/2014
Georgia Forestry Commission,1454,Debris Burning,GA,9.58346,3/25/2014
Georgia Forestry Commission,1402,Debris Burning,GA,11.247522,3/25/2014
Georgia Forestry Commission,1453,Debris Burning,GA,11.247522,3/25/2014
Georgia Forestry Commission,1633,Debris Burning,GA,11.388147,3/25/2014
Mississippi Forestry Commission,1345,Smoking,MS,8.587366,3/25/2014
Chattahoochee-Oconee National Forest,1500,Powerline,GA,9.681116,3/25/2014
Georgia Forestry Commission,1613,Debris Burning,GA,9.681116,3/25/2014
Georgia Forestry Commission,1522,Debris Burning,GA,10.325647,3/25/2014
Georgia Forestry Commission,1512,Debris Burning,GA,11.247522,3/25/2014
Georgia Forestry Commission,1633,Debris Burning,GA,11.388147,3/25/2014
Georgia Forestry Commission,1630,Debris Burning,GA,11.247522,3/25/2014
Mississippi Forestry Commission,1500,Miscellaneous,MS,7.2309203,3/25/2014
Mississippi Forestry Commission,1522,Debris Burning,MS,7.419397,3/25/2014
Georgia Forestry Commission,1626,Debris Burning,GA,9.626429,3/25/2014
Georgia Forestry Commission,1610,Debris Burning,GA,10.595179,3/25/2014
Georgia Forestry Commission,1634,Debris Burning,GA,8.450647,3/25/2014
Georgia Forestry Commission,1502,Debris Burning,GA,10.595179,3/25/2014
Georgia Forestry Commission,1617,Debris Burning,GA,9.626429,3/25/2014
Mississippi Forestry Commission,1420,Campfire,MS,7.2309203,3/25/2014
Georgia Forestry Commission,1628,Debris Burning,GA,10.595179,3/25/2014
Tonto National Forest,1455,Campfire,AZ,24.018915,3/25/2014
Arizona State Forestry Division - State Office,1446,Missing/Undefined,AZ,24.550165,3/25/2014
South Carolina Forestry Commission,1602,Debris Burning,SC,11.669397,3/25/2014
Georgia Forestry Commission,1449,Campfire,GA,8.39596,3/25/2014
Arizona State Forestry Division - State Office,1448,Missing/Undefined,AZ,24.018915,3/25/2014
Mississippi Forestry Commission,1525,Campfire,MS,7.419397,3/25/2014
Georgia Forestry Commission,1655,Debris Burning,GA,10.595179,3/25/2014
Georgia Forestry Commission,1610,Debris Burning,GA,9.626429,3/25/2014
Georgia Forestry Commission,1521,Arson,GA,5.3178344,3/25/2014
Georgia Forestry Commission,1419,Campfire,GA,8.727991,3/25/2014
Tonto National Forest,1458,Miscellaneous,AZ,17.78457,3/25/2014
Georgia Forestry Commission,1622,Debris Burning,GA,4.985803,3/25/2014
Mississippi Forestry Commission,1332,Debris Burning,MS,6.289514,3/25/2014
Arkansas Forestry Commission,1300,Debris Burning,AR,7.0854125,3/25/2014
South Carolina Forestry Commission,1539,Debris Burning,SC,9.126429,3/25/2014
Chattahoochee-Oconee National Forest,1400,Miscellaneous,GA,4.462274,3/25/2014
Mississippi Forestry Commission,1323,Debris Burning,MS,6.2211547,3/25/2014
New Mexico - State Forestry,1222,Debris Burning,NM,13.427362,3/25/2014
Oklahoma Division of Forestry,1520,Arson,OK,6.1147094,3/25/2014
Mississippi Forestry Commission,1457,Smoking,MS,2.3783813,3/25/2014
Southern Pueblos Agency,1214,Debris Burning,NM,12.364862,3/25/2014
Arkansas Forestry Commission,1430,Children,AR,7.388147,3/25/2014
Tennessee Division of Forestry,1445,Arson,TN,2.3783813,3/25/2014
Tennessee Division of Forestry,1340,Miscellaneous,TN,5.2152953,3/25/2014
National Forests in North Carolina,1400,Powerline,NC,5.2982116,3/25/2014
Tennessee Division of Forestry,1535,Children,TN,2.60885,3/25/2014
North Carolina Forest Service,1504,Equipment Use,NC,3.681848,3/25/2014
North Carolina Forest Service,1544,Miscellaneous,NC,3.681848,3/25/2014
Tennessee Division of Forestry,1515,Campfire,TN,4.850305,3/25/2014
Oklahoma Division of Forestry,1440,Arson,OK,5.106897,3/25/2014
Oklahoma Division of Forestry,1315,Miscellaneous,OK,4.532678,3/25/2014
Arkansas Forestry Commission,1503,Arson,AR,6.5590453,3/25/2014
Arkansas Forestry Commission,1515,Debris Burning,AR,3.1147094,3/25/2014
Tennessee Division of Forestry,1440,Arson,TN,3.5235229,3/25/2014
Missouri Department of Conservation,1316,Debris Burning,MO,3.1537719,3/25/2014
Southern Nevada District Office,1243,Missing/Undefined,NV,22.44259,3/25/2014
Kentucky Division of Forestry,1547,Campfire,KY,0.7865845,3/25/2014
Amador-El Dorado Unit,1301,Debris Burning,CA,6.093164,3/25/2014
Missouri Department of Conservation,1545,Debris Burning,MO,-2.7349,3/25/2014
Fire Department of New York,1538,Miscellaneous,NY,0.34224853,3/25/2014
Fire Department of New York,1517,Miscellaneous,NY,0.34224853,3/25/2014
Nebraska Department of Forestry,1346,Equipment Use,NE,-1.5445617,3/25/2014
Fire Department of New York,1622,Miscellaneous,NY,0.60299075,3/25/2014
Pennsylvania Division of Forest Fire Protection,1609,Debris Burning,PA,-0.24051514,3/25/2014
Rhode Island National Wildlife Refuge Complex,1500,Debris Burning,RI,-0.5473999,3/25/2014
Rhode Island Division of Forest Environment,1657,Miscellaneous,RI,-0.89700925,3/25/2014
Nebraska Department of Forestry,1421,Debris Burning,NE,-3.28089,3/25/2014
Fire Department of New York,1646,Miscellaneous,NY,-1.6098999,3/25/2014
Winnebago Agency,1300,Debris Burning,NE,-3.2861695,3/25/2014
Southwestern Land Office,1410,Debris Burning,MT,2.095117,3/25/2014
Florida Forest Service,1940,Debris Burning,FL,20.580774,3/25/2014
Florida Forest Service,1735,Arson,FL,22.322962,3/25/2014
Florida Forest Service,1851,Arson,FL,21.416712,3/25/2014
Florida Forest Service,1736,Debris Burning,FL,16.45968,3/25/2014
Mississippi Forestry Commission,1601,Debris Burning,MS,13.432337,3/25/2014
Louisiana Office of Forestry,1830,Debris Burning,LA,13.713587,3/25/2014
Louisiana Office of Forestry,1645,Debris Burning,LA,13.893274,3/25/2014
Florida Forest Service,1740,Debris Burning,FL,16.057337,3/25/2014
Louisiana Office of Forestry,1610,Debris Burning,LA,13.713587,3/25/2014
Louisiana Office of Forestry,1710,Miscellaneous,LA,12.229212,3/25/2014
Mississippi Forestry Commission,1732,Debris Burning,MS,12.877649,3/25/2014
Georgia Forestry Commission,1742,Debris Burning,GA,15.787806,3/25/2014
Mississippi Forestry Commission,1610,Debris Burning,MS,11.998743,3/25/2014
Louisiana Office of Forestry,1830,Arson,LA,13.772181,3/25/2014
Georgia Forestry Commission,1734,Debris Burning,GA,13.772181,3/25/2014
Mississippi Forestry Commission,1807,Debris Burning,MS,12.596399,3/25/2014
Mississippi Forestry Commission,1804,Debris Burning,MS,11.998743,3/25/2014
Mississippi Forestry Commission,1601,Debris Burning,MS,11.170618,3/25/2014
Kisatchie National Forest,1650,Debris Burning,LA,13.744837,3/25/2014
Georgia Forestry Commission,1838,Debris Burning,GA,11.809961,3/25/2014
Mississippi Forestry Commission,1737,Smoking,MS,11.170618,3/25/2014
Georgia Forestry Commission,1841,Debris Burning,GA,12.755274,3/25/2014
Georgia Forestry Commission,1725,Debris Burning,GA,11.763086,3/25/2014
Georgia Forestry Commission,1836,Debris Burning,GA,10.013086,3/25/2014
Georgia Forestry Commission,1906,Debris Burning,GA,11.403711,3/25/2014
Georgia Forestry Commission,1824,Debris Burning,GA,11.403711,3/25/2014
Georgia Forestry Commission,1836,Debris Burning,GA,10.778711,3/25/2014
Georgia Forestry Commission,1722,Debris Burning,GA,11.403711,3/25/2014
Papago Agency,1630,Miscellaneous,AZ,23.073572,3/25/2014
Georgia Forestry Commission,1708,Debris Burning,GA,11.763086,3/25/2014
Georgia Forestry Commission,1808,Debris Burning,GA,11.403711,3/25/2014
Georgia Forestry Commission,1707,Debris Burning,GA,8.856836,3/25/2014
Georgia Forestry Commission,1709,Debris Burning,GA,8.856836,3/25/2014
Mississippi Forestry Commission,1652,Children,MS,9.776087,3/25/2014
Georgia Forestry Commission,1837,Arson,GA,11.161524,3/25/2014
Georgia Forestry Commission,1700,Campfire,GA,8.856836,3/25/2014
Louisiana Office of Forestry,1730,Railroad,LA,12.604212,3/25/2014
Georgia Forestry Commission,1753,Debris Burning,GA,11.161524,3/25/2014
Gila District Office,1615,Equipment Use,AZ,19.110254,3/25/2014
Texas A & M Forest Service,1606,Debris Burning,TX,13.092493,3/25/2014
Texas A & M Forest Service,1624,Debris Burning,TX,12.807337,3/25/2014
Mississippi Forestry Commission,1730,Debris Burning,MS,8.524134,3/25/2014
Texas A & M Forest Service,1622,Debris Burning,TX,12.365931,3/25/2014
Georgia Forestry Commission,1744,Debris Burning,GA,8.302149,3/25/2014
Mississippi Forestry Commission,1738,Debris Burning,MS,7.846399,3/25/2014
South Carolina Forestry Commission,1735,Powerline,SC,8.567774,3/25/2014
Arkansas Forestry Commission,1610,Debris Burning,AR,10.848352,3/25/2014
Mississippi Forestry Commission,1710,Debris Burning,MS,7.190149,3/25/2014
Arkansas Forestry Commission,1850,Debris Burning,AR,10.321009,3/25/2014
Mississippi Forestry Commission,1605,Campfire,MS,6.93136,3/25/2014
Southern Pueblos Agency,1500,Debris Burning,NM,17.013666,3/25/2014
